Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,180,0,1820
2,178,0,1642
3,117,0,1525
4,14,0,1511
5,28,0,1483
6,130,0,1353
7,0,647,2000
8,81,0,1919
9,154,0,1765
10,174,0,1591
11,24,0,1567
12,43,0,1524
13,148,0,1376
14,0,624,2000
15,21,0,1979
16,196,0,1783
17,19,0,1764
18,121,0,1643
19,134,0,1509
20,25,0,1484
21,0,516,2000
22,160,0,1840
23,62,0,1778
24,169,0,1609
25,13,0,1596
26,124,0,1472
27,164,0,1308
28,0,692,2000
29,94,0,1906
30,160,0,1746
31,185,0,1561
32,140,0,1421
33,137,0,1284
34,142,0,1142
35,0,858,2000
36,114,0,1886
37,169,0,1717
38,37,0,1680
39,103,0,1577
40,39,0,1538
41,114,0,1424
42,0,576,2000
43,106,0,1894
44,108,0,1786
45,50,0,1736
46,189,0,1547
47,143,0,1404
48,127,0,1277
49,0,723,2000
